,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
3326,ford,45900,hatch,focus,automático,2015,52000,2.02.9,flex,elétrica,preto,não,focus tita tita plus 2.0  flex 5p aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3327,ford,16000,hatch,ka,manual,2013,80000,1,flex,hidráulica,prata,não,ka 1.0 8v 1.0 8v st flex 3p,2 portas,0,"vidro elétrico, ar condicionado, direção hidráulica, som",1
3328,ford,15000,hatch,ka,manual,2017,56000,1,flex,elétrica,preto,sim,ka 1.0 sel tivct flex 5p,4 portas,financiado,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som",0
3329,vwvolkswagen,60500,hatch,golf,manual,2017,38500,1,flex,elétrica,cinza,não,golf comfortline 1.0 tsi total flex mec.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, som, sensor de ré, c mera de ré",0
3330,ford,46000,sedã,ka,manual,2018,4900,1.5,flex,elétrica,branco,não,ka 1.5 sedan se plus 12v flex 4p mec.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, c mera de ré",0
3331,vwvolkswagen,27900,passeio,fox,manual,2013,0,1,flex,mecnica,preto,sim,0,4 portas,0,ar condicionado,0
3332,ford,44900,passeio,ka,manual,2018,50000,0,flex,0,0,0,ka  sedan 1.5 sel 16v flex 4p,4 portas,0,0,0
3333,vwvolkswagen,31900,passeio,up,manual,2016,43034,1,flex,hidráulica,vermelho,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme",
3334,vwvolkswagen,29900,hatch,polo,automático,2014,93000,1.6,flex,hidráulica,prata,sim,polo i motion 1.6 total flex  5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",
3335,ford,27900,hatch,ka,manual,2015,50000,1,flex,elétrica,branco,não,ka 1.0 se 12v flex 4p manual,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
